req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DET-001,Protocol Detection,XML Detection,The plugin shall detect XML CoT messages starting with '<?xml' prefix,First 5 bytes match '<?xml',tests/test_cot_xml.py,test_detect_xml_declaration,Unit Test,COMPLETE,HIGH,1,Check buffer prefix,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-001.md,
REQ-DET-002,Protocol Detection,XML Detection,The plugin shall detect XML CoT messages starting with '<event' prefix,First 6 bytes match '<event',tests/test_cot_xml.py,test_detect_event_tag,Unit Test,COMPLETE,HIGH,1,Check buffer prefix,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-002.md,
REQ-DET-003,Protocol Detection,TAK Protobuf,The plugin shall detect TAK Stream protocol (0xBF + varint length),Magic byte 0xBF followed by length varint,tests/test_tak_protobuf.py,test_detect_stream_protocol,Unit Test,COMPLETE,HIGH,1,Version 1 framing,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-003.md,
REQ-DET-004,Protocol Detection,TAK Protobuf,The plugin shall detect TAK Mesh protocol (0xBF + version + 0xBF),Magic byte pattern with version,tests/test_tak_protobuf.py,test_detect_mesh_protocol,Unit Test,COMPLETE,HIGH,1,Version 2+ framing,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-004.md,
REQ-DET-005,Protocol Detection,OMNI Protobuf,The plugin shall detect OMNI Protobuf by field tag patterns,First byte matches common field tags,tests/test_omni.py,test_detect_omni_entity_id_tag,Unit Test,COMPLETE,HIGH,1,Check for 0x08/0x10/0x1a/0x22,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-005.md,
REQ-XML-001,XML CoT Parsing,Event Element,The plugin shall parse event element attributes (type uid how version),All attributes extracted correctly,tests/test_cot_xml.py,test_parse_event_attributes,Unit Test,COMPLETE,HIGH,2,Regex-based extraction,0.5,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-001.md,
REQ-XML-002,XML CoT Parsing,Point Element,The plugin shall parse point element attributes (lat lon hae ce le),Coordinates as doubles,tests/test_cot_xml.py,test_parse_point_element,Unit Test,COMPLETE,HIGH,2,Extract from point tag,0.5,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-002.md,
REQ-XML-003,XML CoT Parsing,Contact Element,The plugin shall parse contact element (callsign endpoint),Contact info displayed,tests/test_cot_xml.py,test_parse_contact_element,Unit Test,COMPLETE,HIGH,2,Extract from contact tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-003.md,
REQ-XML-004,XML CoT Parsing,Group Element,The plugin shall parse __group element (name role),Group info displayed,tests/test_cot_xml.py,test_parse_group_element_not_present,Unit Test,COMPLETE,MEDIUM,2,Extract from __group tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-004.md,
REQ-XML-005,XML CoT Parsing,TAKv Element,The plugin shall parse takv element (device platform os version),TAK version info displayed,tests/test_cot_xml.py,test_parse_takv_element_not_present,Unit Test,COMPLETE,MEDIUM,2,Extract from takv tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-005.md,
REQ-XML-006,XML CoT Parsing,Track Element,The plugin shall parse track element (speed course),Track data as doubles,tests/test_cot_xml.py,test_track_element_not_present_in_marker,Unit Test,COMPLETE,MEDIUM,2,Extract from track tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-006.md,
REQ-XML-007,XML CoT Parsing,Status Element,The plugin shall parse status element (battery),Battery percentage displayed,tests/test_cot_xml.py,test_parse_status_element,Unit Test,COMPLETE,LOW,2,Extract from status tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-007.md,
REQ-XML-008,XML CoT Parsing,Precision Element,The plugin shall parse precisionlocation element (geopointsrc altsrc),Precision sources displayed,tests/test_cot_xml.py,test_parse_precision_element,Unit Test,COMPLETE,LOW,2,Extract from precisionlocation tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-008.md,
REQ-PB-001,Protobuf Decoder,Varint,The plugin shall decode varint encoding natively,Correct integer values,tests/test_protobuf.py,test_decode_varint_single_byte,Unit Test,COMPLETE,HIGH,1,No external dependencies,0.5,,,developer,v1.0,,,docs/requirements/PROTOBUF/REQ-PB-001.md,
REQ-PB-002,Protobuf Decoder,Fixed64,The plugin shall decode 64-bit fixed values (doubles),Correct double values,tests/test_protobuf.py,test_decode_double_zero,Unit Test,COMPLETE,HIGH,1,Little-endian format,0.5,,,developer,v1.0,,,docs/requirements/PROTOBUF/REQ-PB-002.md,
REQ-PB-003,Protobuf Decoder,Length-Delimited,The plugin shall decode length-delimited fields,Strings and messages extracted,tests/test_protobuf.py,test_decode_string,Unit Test,COMPLETE,HIGH,1,Varint length prefix,0.5,REQ-PB-001,,developer,v1.0,,,docs/requirements/PROTOBUF/REQ-PB-003.md,
REQ-PB-004,Protobuf Decoder,Field Tag,The plugin shall decode field tags (number + wire type),Field number and wire type,tests/test_protobuf.py,test_decode_tag_varint,Unit Test,COMPLETE,HIGH,1,Tag encoding scheme,0.25,REQ-PB-001,,developer,v1.0,,,docs/requirements/PROTOBUF/REQ-PB-004.md,
REQ-TAK-001,TAK Protobuf,TakMessage,The plugin shall parse TakMessage with TakControl and CotEvent,Both fields extracted,tests/test_tak_protobuf.py,test_parse_tak_message_structure,Unit Test,COMPLETE,HIGH,2,Top-level message,0.5,REQ-DET-003|REQ-DET-004,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-001.md,
REQ-TAK-002,TAK Protobuf,TakControl,The plugin shall parse TakControl (minProto maxProto contactUid),Protocol versions displayed,tests/test_tak_protobuf.py,test_tak_control_structure,Unit Test,COMPLETE,HIGH,2,Control submessage,0.25,REQ-TAK-001,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-002.md,
REQ-TAK-003,TAK Protobuf,CotEvent,The plugin shall parse CotEvent fields (type uid how times),Event attributes displayed,tests/test_tak_protobuf.py,test_cot_event_type_field,Unit Test,COMPLETE,HIGH,2,Event submessage,0.5,REQ-TAK-001,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-003.md,
REQ-TAK-004,TAK Protobuf,Point Data,The plugin shall parse CotEvent point data as doubles,Coordinates correctly parsed,tests/test_tak_protobuf.py,test_cot_event_point_lat,Unit Test,COMPLETE,HIGH,2,Fields 10-14 as doubles,0.5,REQ-TAK-003,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-004.md,
REQ-TAK-005,TAK Protobuf,Detail,The plugin shall parse Detail submessage,All detail fields extracted,tests/test_tak_protobuf.py,test_detail_field_in_cot_event,Unit Test,COMPLETE,HIGH,2,Nested Detail message,0.75,REQ-TAK-003,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-005.md,
REQ-TAK-006,TAK Protobuf,Contact,The plugin shall parse Contact (endpoint callsign),Contact info displayed,tests/test_tak_protobuf.py,test_contact_in_detail,Unit Test,COMPLETE,MEDIUM,2,Detail field 2,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-006.md,
REQ-TAK-007,TAK Protobuf,Group,The plugin shall parse Group (name role),Group info displayed,tests/test_tak_protobuf.py,test_group_in_detail,Unit Test,COMPLETE,MEDIUM,2,Detail field 3,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-007.md,
REQ-TAK-008,TAK Protobuf,Status,The plugin shall parse Status (battery),Battery level displayed,tests/test_tak_protobuf.py,test_status_in_detail,Unit Test,COMPLETE,LOW,2,Detail field 5,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-008.md,
REQ-TAK-009,TAK Protobuf,TAKv,The plugin shall parse Takv (device platform os version),TAK version displayed,tests/test_tak_protobuf.py,test_takv_in_detail,Unit Test,COMPLETE,MEDIUM,2,Detail field 6,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-009.md,
REQ-TAK-010,TAK Protobuf,Track,The plugin shall parse Track (speed course) as doubles,Track data displayed,tests/test_tak_protobuf.py,test_track_in_detail,Unit Test,COMPLETE,MEDIUM,2,Detail field 7,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-010.md,
REQ-TAK-011,TAK Protobuf,PrecisionLocation,The plugin shall parse PrecisionLocation (geopointsrc altsrc),Precision sources displayed,tests/test_tak_protobuf.py,test_precision_location_in_detail,Unit Test,COMPLETE,LOW,2,Detail field 4,0.25,REQ-TAK-005,,developer,v1.0,,,docs/requirements/TAK/REQ-TAK-011.md,
REQ-OMNI-001,OMNI Protobuf,BaseEvent,The plugin shall parse BaseEvent (entity_id sequence_number),Entity ID displayed,tests/test_omni.py,test_base_event_entity_id,Unit Test,COMPLETE,HIGH,2,Top-level OMNI message,0.5,REQ-DET-005,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-001.md,
REQ-OMNI-002,OMNI Protobuf,EventOrigin,The plugin shall parse EventOrigin (source_uid source_net),Origin info displayed,tests/test_omni.py,test_event_origin_source_uid,Unit Test,COMPLETE,HIGH,2,Field 2 submessage,0.25,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-002.md,
REQ-OMNI-003,OMNI Protobuf,TimeOfValidity,The plugin shall parse TimeOfValidity (updated timeout),Time info displayed,tests/test_omni.py,test_time_of_validity_updated,Unit Test,COMPLETE,MEDIUM,2,Field 4 submessage,0.25,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-003.md,
REQ-OMNI-004,OMNI Protobuf,Alias,The plugin shall parse Alias repeated field,All aliases displayed,tests/test_omni.py,test_alias_domain,Unit Test,COMPLETE,MEDIUM,2,Field 5 repeated,0.25,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-004.md,
REQ-OMNI-005,OMNI Protobuf,TrackEvent,The plugin shall parse TrackEvent with position data,Track event displayed,tests/test_omni.py,test_track_event_field_number,Unit Test,COMPLETE,HIGH,2,Oneof field 12,0.5,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-005.md,
REQ-OMNI-006,OMNI Protobuf,PlayerEvent,The plugin shall parse PlayerEvent (callsign),Player info displayed,tests/test_omni.py,test_player_event_field_number,Unit Test,COMPLETE,MEDIUM,2,Oneof field 13,0.5,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-006.md,
REQ-OMNI-007,OMNI Protobuf,ChatEvent,The plugin shall parse ChatEvent (sender message),Chat message displayed,tests/test_omni.py,test_chat_event_field_number,Unit Test,COMPLETE,MEDIUM,2,Oneof field 16,0.25,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-007.md,
REQ-OMNI-008,OMNI Protobuf,Event Types,The plugin shall identify OMNI event types by oneof field number,Event type correctly identified,tests/test_omni.py,test_all_event_types_mapped,Unit Test,COMPLETE,MEDIUM,2,Fields 11-42 mapping,0.5,REQ-OMNI-001,,developer,v1.0,,,docs/requirements/OMNI/REQ-OMNI-008.md,
REQ-WS-001,Wireshark,Port Config,The plugin shall register on configurable TAK port (default 6969),Traffic handled on port,tests/test_wireshark.py,test_tak_port_default,Integration Test,COMPLETE,HIGH,1,TCP and UDP,0.25,,,developer,v1.0,,,docs/requirements/WIRESHARK/REQ-WS-001.md,
REQ-WS-002,Wireshark,Port Config,The plugin shall register on configurable OMNI port (default 8089),Traffic handled on port,tests/test_wireshark.py,test_omni_port_default,Integration Test,COMPLETE,HIGH,1,TCP and UDP,0.25,,,developer,v1.0,,,docs/requirements/WIRESHARK/REQ-WS-002.md,
REQ-WS-003,Wireshark,Display,The plugin shall display protocol hierarchy in packet details,Expandable tree structure,tests/test_wireshark.py,test_protocol_field_defined,Integration Test,COMPLETE,MEDIUM,2,ProtoField tree,0.5,,,developer,v1.0,,,docs/requirements/WIRESHARK/REQ-WS-003.md,
REQ-WS-004,Wireshark,Filtering,The plugin shall support display filters on parsed fields,Filters work correctly,tests/test_wireshark.py,test_field_filter_names,Integration Test,COMPLETE,MEDIUM,2,ProtoField registration,0.5,,,developer,v1.0,,,docs/requirements/WIRESHARK/REQ-WS-004.md,
REQ-WS-005,Wireshark,Info Column,The plugin shall update info column with message summary,Summary displayed,tests/test_wireshark.py,test_info_column_set,Integration Test,COMPLETE,LOW,2,pinfo.cols.info,0.25,,,developer,v1.0,,,docs/requirements/WIRESHARK/REQ-WS-005.md,
REQ-ERR-001,Error Handling,Malformed,The plugin shall report malformed messages with expert info,Expert warning shown,tests/test_errors.py,test_expert_info_malformed_defined,Unit Test,COMPLETE,MEDIUM,3,ProtoExpert malformed,0.25,,,developer,v1.0,,,docs/requirements/ERROR/REQ-ERR-001.md,
REQ-ERR-002,Error Handling,Unsupported,The plugin shall report unsupported message types,Expert warning shown,tests/test_errors.py,test_expert_info_unsupported_defined,Unit Test,COMPLETE,MEDIUM,3,ProtoExpert unsupported,0.25,,,developer,v1.0,,,docs/requirements/ERROR/REQ-ERR-002.md,
